feature,importance_mean,importance_std
market_cap,0.413539513659649,0.04099684303788841
price,0.30383467971715505,0.03316356928640792
price_ma7,0.01104751365393324,0.006175703894276993
price_ma30,0.00879335474417695,0.0026964858309829576
volume,0.0005171501893993403,0.004504894130286076
volatility_7d,-0.0012337416712617788,0.004712051487261062
